trial_index,seed,gallery_images_per_identity,identity_count,probe_count,gallery_image_count,top_1,top_3,top_5,top_10,mrr,mean_true_identity_rank,median_true_identity_rank
19,20260844,1,123,123,123,0.9512195121951219,0.967479674796748,0.967479674796748,0.967479674796748,0.9573396921273288,3.252032520325203,1.0
19,20260844,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9841795653533458,1.7154471544715446,1.0
19,20260844,3,123,123,369,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.992239467849224,1.170731707317073,1.0
19,20260844,4,123,123,492,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921710328214394,1.2113821138211383,1.0
19,20260844,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921710328214394,1.2113821138211383,1.0
20,20260845,1,123,123,123,0.943089430894309,0.9512195121951219,0.9512195121951219,0.9512195121951219,0.9483739684483525,4.170731707317073,1.0
20,20260845,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9843037250248279,1.5284552845528456,1.0
20,20260845,3,123,123,369,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842559208200777,1.5772357723577235,1.0
20,20260845,4,123,123,492,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842721641502129,1.5203252032520325,1.0
20,20260845,5,123,123,615,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9842417815482503,1.5609756097560976,1.0
21,20260846,1,123,123,123,0.9512195121951219,0.967479674796748,0.975609756097561,0.975609756097561,0.960566422838901,2.5040650406504064,1.0
21,20260846,2,123,123,246,0.983739837398374,0.983739837398374,0.983739837398374,0.983739837398374,0.9843316823972837,1.6016260162601625,1.0
21,20260846,3,123,123,369,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.992239467849224,1.170731707317073,1.0
21,20260846,4,123,123,492,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9922086720867209,1.1869918699186992,1.0
21,20260846,5,123,123,615,0.991869918699187,0.991869918699187,0.991869918699187,0.991869918699187,0.9921826141338336,1.2032520325203253,1.0
22,20260847,1,123,123,123,0.959349593495935,0.967479674796748,0.975609756097561,0.975609756097561,0.965728760850712,2.008130081300813,1.0
